timestamp,mercado,token_id,side,prob_modelo,prob_mercado,edge_neto,inversion
2026-06-25 02:02:50,Título no encontrado en mercados recientes,1294301106000867191772806529332889741277848776146041262771462884723167975461,YES,0.5195,0.2000,0.1895,1.00
2026-06-25 02:03:35,Título no encontrado en mercados recientes,1294301106000867191772806529332889741277848776146041262771462884723167975461,YES,0.5479,0.1990,0.2229,1.00
2026-06-25 02:21:35,Título no encontrado en mercados recientes,1294301106000867191772806529332889741277848776146041262771462884723167975461,YES,0.5150,0.1860,0.2000,1.00
2026-06-25 02:23:38,Título no encontrado en mercados recientes,20732781992358306660211916934191125227215591425191642826541872901597407787767,NO,0.4954,0.0470,0.3366,1.00
2026-06-25 02:31:53,Título no encontrado en mercados recientes,20732781992358306660211916934191125227215591425191642826541872901597407787767,NO,0.4015,0.0470,0.5505,1.00
